trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",20,0,-130.6456084,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-156.4611075,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-50.7765888,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-70.84860419,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-166.8063974,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-120.3764226,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-90.20379993,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",1
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-103.006562,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-70.22645797,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-57.06800485,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",30,13,-53.80899175,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",30,15,-32.47429722,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",25,19,10.32007412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-65.2278717,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",30,17,-2.06522911,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",35,17,-21.05157529,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",35,2,-48.53163325,"{0: 27, 1: 1, 2: 4, 3: 0, 4: 1}",1
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,11.43882232,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,-0.366811581,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,12,-22.57152712,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,TRUE,"{'a': 0, 'e': 0}",25,16,19.80519843,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",25,3,34.26967784,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0, 'e': 0}",20,0,29.85455276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,TRUE,"{'a': 0, 'e': 0}",25,11,2.111218298,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,TRUE,"{'a': 0, 'e': 0}",30,20,-27.49583699,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,TRUE,"{'a': 0, 'e': 0}",20,9,24.83354898,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",20,6,22.84023248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0, 'e': 0}",20,1,30.41046137,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",25,10,19.91804115,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0, 'e': 0}",25,3,35.04525509,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
