trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.9, 'e': 1.0}",30,0,-210.8484853,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
2,FALSE,"{'a': 0.9, 'e': 0.25}",20,0,-72.64291612,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,FALSE,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,-53.73348731,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
4,FALSE,"{'a': 0.9, 'e': 0.0625}",30,14,-50.8787077,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,FALSE,"{'a': 0.9, 'e': 0.04}",30,0,-19.09671665,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,FALSE,"{'a': 0.9, 'e': 0.027777777777777776}",20,13,-43.110138,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,FALSE,"{'a': 0.9, 'e': 0.02040816326530612}",25,0,-133.4165757,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
8,FALSE,"{'a': 0.9, 'e': 0.015625}",25,17,-28.09570465,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,FALSE,"{'a': 0.9, 'e': 0.012345679012345678}",25,0,-77.45752022,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,FALSE,"{'a': 0.9, 'e': 0.01}",20,2,25.56990593,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,FALSE,"{'a': 0.9, 'e': 0.008264462809917356}",30,3,17.83037942,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
12,FALSE,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,16.63591141,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,FALSE,"{'a': 0.9, 'e': 0.005917159763313609}",25,7,23.74243794,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,FALSE,"{'a': 0.9, 'e': 0.00510204081632653}",25,0,-66.29247411,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,FALSE,"{'a': 0.9, 'e': 0.0044444444444444444}",25,16,17.1800276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,FALSE,"{'a': 0.9, 'e': 0.00390625}",35,20,-15.10184303,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,FALSE,"{'a': 0.9, 'e': 0.0034602076124567475}",25,15,-1.108254153,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,FALSE,"{'a': 0.9, 'e': 0.0030864197530864196}",30,8,30.64659092,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.9, 'e': 0.002770083102493075}",25,0,19.71932609,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
