trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-199.8526536,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 2}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",30,1,-175.9903239,"{0: 16, 1: 0, 2: 9, 3: 3, 4: 1}",1
3,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-249.9583061,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 5}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-65.06642572,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",25,19,-2.079642306,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-145.9290889,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
7,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-122.9832927,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-145.6834012,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-49.20309797,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-82.22636597,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-86.11880406,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",25,14,-18.38924561,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-103.8695387,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-228.1678577,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
15,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-69.85586633,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-78.8239696,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",20,7,-15.53192691,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-78.8874626,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-244.1815302,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-125.3647523,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-51.69312894,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
2,TRUE,"{'a': 0.5, 'e': 1.0}",20,15,-34.12345494,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-204.8395653,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
4,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-202.1017593,"{0: 12, 1: 0, 2: 7, 3: 5, 4: 1}",0
5,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-58.0354501,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-169.1518632,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-104.1412422,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
8,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-106.252326,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-227.1989374,"{0: 14, 1: 0, 2: 12, 3: 2, 4: 2}",0
10,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-122.7372236,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
